year,time_hour,dep_delay,arr_delay,origin,dest,tailnum,carrier
2013,2013-03-17T12:00:00Z,-5,-21,JFK,CHS,N258JB,B6
2013,2013-12-31T19:00:00Z,-2,-9,LGA,IAD,N515MJ,YV
2013,2013-05-20T15:00:00Z,42,18,LGA,DFW,N3CPAA,AA
2013,2013-04-04T13:00:00Z,-9,-7,LGA,RSW,N505JB,B6
2013,2013-12-12T13:00:00Z,-2,-5,LGA,MSP,N365NW,DL
2013,2013-11-30T21:00:00Z,-1,-19,JFK,ATL,N379DA,DL
2013,2013-03-12T15:00:00Z,-5,-18,EWR,MIA,N3GWAA,AA
2013,2013-12-07T00:00:00Z,71,87,LGA,ORD,N498UA,UA
2013,2013-07-19T22:00:00Z,69,53,LGA,BNA,N711MQ,MQ
2013,2013-11-04T19:00:00Z,0,2,JFK,IAD,N836AS,EV
2013,2013-02-05T01:00:00Z,-7,-23,LGA,DCA,N705UW,US
2013,2013-02-20T13:00:00Z,-3,-28,JFK,MIA,N964DL,DL
2013,2013-12-17T17:00:00Z,79,132,JFK,MCO,N639JB,B6
2013,2013-02-03T19:00:00Z,16,5,JFK,PBI,N571JB,B6
2013,2013-01-13T13:00:00Z,0,-4,JFK,CLT,N203JB,B6
2013,2013-08-15T20:00:00Z,12,8,LGA,TPA,N598JB,B6
2013,2013-12-15T20:00:00Z,24,21,JFK,CVG,N614MQ,MQ
2013,2013-04-05T13:00:00Z,-7,5,LGA,CLT,N753US,US
2013,2013-10-04T21:00:00Z,-8,-36,JFK,CLT,N183JB,B6
2013,2013-06-09T13:00:00Z,0,-20,EWR,MSP,N14186,EV
2013,2013-11-19T20:00:00Z,-9,-18,EWR,BNA,N13997,EV
2013,2013-08-09T19:00:00Z,27,10,EWR,DFW,N4XFAA,AA
2013,2013-10-25T16:00:00Z,-5,2,LGA,ORD,N4XCAA,AA
2013,2013-07-28T19:00:00Z,-4,NA,EWR,STL,N16149,EV
2013,2013-10-09T18:00:00Z,-7,-25,LGA,TPA,N334NB,DL
2013,2013-11-26T13:00:00Z,0,-6,LGA,ORD,N451UA,UA
2013,2013-06-06T13:00:00Z,5,26,JFK,LAX,N621VA,VX
2013,2013-02-25T01:00:00Z,-8,-7,EWR,DAY,N15912,EV
2013,2013-12-01T16:00:00Z,-5,-18,EWR,MCO,N26123,UA
2013,2013-12-18T19:00:00Z,51,43,EWR,PVD,N14203,EV
2013,2013-04-22T23:00:00Z,111,99,EWR,RIC,N13958,EV
2013,2013-07-15T21:00:00Z,1,-17,JFK,RDU,N316JB,B6
2013,2013-02-15T14:00:00Z,-7,13,LGA,MIA,N3AUAA,AA
2013,2013-12-11T11:00:00Z,NA,NA,EWR,CVG,NA,9E
2013,2013-10-09T11:00:00Z,-5,-16,EWR,MHT,N12567,EV
2013,2013-09-15T12:00:00Z,-3,6,JFK,CLT,N229JB,B6
2013,2013-02-08T12:00:00Z,23,17,JFK,LAX,N640VA,VX
2013,2013-12-05T18:00:00Z,15,5,JFK,PBI,N306JB,B6
2013,2013-04-04T11:00:00Z,0,3,JFK,MCO,N779JB,B6
2013,2013-05-20T01:00:00Z,NA,NA,EWR,STL,N13992,EV
2013,2013-05-29T17:00:00Z,-5,11,EWR,HNL,N66057,UA
2013,2013-09-17T20:00:00Z,46,28,EWR,BOS,N462UA,UA
2013,2013-07-03T21:00:00Z,49,15,JFK,SEA,N702TW,DL
2013,2013-10-10T18:00:00Z,68,43,EWR,STL,N21537,EV
2013,2013-05-21T09:00:00Z,0,-18,EWR,IAH,N62631,UA
2013,2013-11-06T12:00:00Z,-6,-1,EWR,ORD,N36207,UA
2013,2013-08-24T15:00:00Z,-11,-16,LGA,BNA,N544MQ,MQ
2013,2013-11-04T23:00:00Z,-1,-13,JFK,ATL,N718TW,DL
2013,2013-11-25T17:00:00Z,-6,-11,EWR,CLT,N14923,EV
2013,2013-01-12T21:00:00Z,40,11,JFK,SAT,N903XJ,9E
2013,2013-03-02T22:00:00Z,-6,-11,JFK,MCO,N556JB,B6
2013,2013-03-24T20:00:00Z,1,-9,JFK,DEN,N3731T,DL
2013,2013-11-10T16:00:00Z,-1,-13,LGA,ATL,N947AT,FL
2013,2013-08-22T23:00:00Z,51,30,JFK,FLL,N187JB,B6
2013,2013-06-23T12:00:00Z,-2,-19,JFK,CLT,N178JB,B6
2013,2013-05-21T13:00:00Z,6,19,EWR,IND,N15973,EV
2013,2013-08-06T20:00:00Z,1,-31,LGA,ATL,N990DL,DL
