date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,ADP.Open,ADP.High,ADP.Low,ADP.Close,ADP.Volume,ADP.Adjusted,ADBE.Open,ADBE.High,ADBE.Low,ADBE.Close,ADBE.Volume,ADBE.Adjusted,AMD.Open,AMD.High,AMD.Low,AMD.Close,AMD.Volume,AMD.Adjusted,IBM.Open,IBM.High,IBM.Low,IBM.Close,IBM.Volume,IBM.Adjusted,ORCL.Open,ORCL.High,ORCL.Low,ORCL.Close,ORCL.Volume,ORCL.Adjusted
2020-01-02,158.779999,160.729996,158.330002,160.619995,22622100,156.924377,74.059998,75.150002,73.797501,75.087502,135480400,73.785919,171.960007,172,169.199997,170.320007,1364600,161.599213,330,334.480011,329.170013,334.429993,1990100,334.429993,46.860001,49.25,46.630001,49.099998,80331100,49.099998,129.063095,129.942642,128.843216,129.46463,3293436,114.339615,53.27,53.959999,53.23,53.950001,13899600,51.816765
2020-01-03,158.320007,159.949997,158.059998,158.619995,21116200,154.970398,74.287498,75.144997,74.125,74.357498,146322800,73.068573,168.059998,170.449997,168.059998,169.960007,1000100,161.25766,329.170013,332.980011,328.690002,331.809998,1577600,331.809998,48.029999,49.389999,47.540001,48.599998,73127400,48.599998,127.695984,128.92926,127.686424,128.432129,2482890,113.427727,52.990002,54.049999,52.950001,53.759998,11026700,51.634281
2020-01-06,157.080002,159.100006,156.509995,159.029999,20813700,155.370987,73.447502,74.989998,73.1875,74.949997,118387200,73.65078,169.080002,170.339996,168.830002,170.190002,1205900,161.475876,328.290009,333.910004,328.190002,333.709991,1874700,333.709991,48.02,48.860001,47.860001,48.389999,47934900,48.389999,127.552582,128.336517,127.342255,128.202682,2537073,113.225105,53.360001,54.200001,53.349998,54.040001,10982400,51.903214
2020-01-07,159.320007,159.669998,157.320007,157.580002,21634100,153.954361,74.959999,75.224998,74.370003,74.597504,108872000,73.304413,169.289993,169.460007,167.949997,168.130005,1878900,159.521317,334.149994,334.790009,332.309998,333.390015,2500800,333.390015,49.349998,49.389999,48.040001,48.25,58061400,48.25,127.810707,129.024857,127.533463,128.288712,3232977,113.301086,53.889999,54.330002,53.610001,54.16,12015400,52.018471
2020-01-08,158.929993,160.800003,157.949997,160.089996,27746500,156.406586,74.290001,76.110001,74.290001,75.797501,132079200,74.483597,168.789993,170.509995,168.169998,169.710007,1675500,161.020462,333.809998,339.230011,333.399994,337.869995,2248500,337.869995,47.849998,48.299999,47.139999,47.830002,53767000,47.830002,128.59465,129.885284,128.030594,129.359467,4545916,114.246735,53.939999,54.599998,53.700001,54.130001,11856700,52.221062
2020-01-09,161.839996,162.220001,161.029999,162.089996,21385000,158.360565,76.809998,77.607498,76.550003,77.407501,170108400,76.065689,170.380005,171.339996,170.119995,171.210007,1189600,162.443665,340.140015,341.809998,338.190002,340.450012,1626300,340.450012,48.939999,49.959999,48.389999,48.970001,76512800,48.970001,129.770554,130.774384,129.359467,130.726578,3902208,115.454132,54.25,54.799999,54.029999,54.380001,10671000,52.46225
2020-01-10,162.820007,163.220001,161.179993,161.339996,20725900,157.627823,77.650002,78.167503,77.0625,77.582497,140644800,76.237656,172,172,170.639999,171.089996,968700,162.329803,342.049988,343.359985,339.619995,339.809998,1480400,339.809998,49.259998,49.290001,48,48.169998,44133700,48.169998,130.975143,131.806885,130.315491,130.678772,3405148,115.411919,54.549999,54.650002,54.220001,54.450001,9734800,52.529778
2020-01-13,161.759995,163.309998,161.259995,163.279999,21626500,159.523193,77.910004,79.267502,77.787498,79.239998,121532000,77.866425,171.520004,172.470001,171.100006,172.360001,926700,163.53476,341.540009,345.730011,341.220001,345.630005,2069200,345.630005,48.66,48.860001,48.240002,48.75,34266800,48.75,129.521988,130.630981,129.13002,130.592728,3693426,115.335922,54.459999,54.790001,54.360001,54.580002,10858900,52.65519
2020-01-14,163.389999,163.600006,161.720001,162.130005,23477400,158.399658,79.175003,79.392502,78.042503,78.169998,161954400,76.81498,172.119995,172.350006,170.5,171.229996,1688100,162.462601,347.01001,347.269989,343.149994,344.630005,2274400,344.630005,48.639999,49.040001,47.91,48.209999,38563200,48.209999,130.286804,131.108994,129.588913,129.847031,3850326,114.677338,54.52,55.18,54.5,54.880001,12627200,52.944614
2020-01-15,162.619995,163.940002,162.570007,163.179993,21417900,159.425446,77.962502,78.875,77.387497,77.834999,121923600,76.485794,172.070007,174.490005,171.809998,172.809998,2114600,163.961731,346.420013,347.5,342.459991,342.940002,2213300,342.940002,48.23,49.080002,48.119999,48.549999,40199900,48.549999,130.019119,131.988525,129.741867,130.611862,4232011,115.352806,54.880001,55.18,54.68,54.759998,9090800,52.828842
2020-01-16,164.350006,166.240005,164.029999,166.169998,23865400,162.346695,78.397499,78.925003,78.022499,78.809998,108829200,77.443886,173.860001,174.940002,172.940002,174.880005,2281200,165.92572,345.980011,345.98999,342.76001,345.380005,2439600,345.380005,49.169998,50.310001,48.990002,49.77,58898900,49.77,131.281067,132.112808,130.984711,131.912048,4519661,116.501114,54.98,55.450001,54.93,55.43,9866000,53.475212
2020-01-17,167.419998,167.470001,165.429993,167.100006,34371700,163.25528,79.067497,79.684998,78.75,79.682503,137816400,78.30127,176.029999,176.910004,175.100006,176.869995,2818200,167.813828,349,349.950012,346.380005,349.73999,2536100,349.73999,50.200001,51.049999,49.900002,50.93,57722500,50.93,130.53537,132.246658,130.172089,132.227539,5881972,116.779732,55.630001,55.689999,54.849998,55.130001,11166600,53.185806
2020-01-21,166.679993,168.190002,166.429993,166.5,29517200,162.669098,79.297501,79.754997,79,79.142502,110843200,77.770622,174.949997,177.600006,174.949997,176.199997,2016400,167.178146,346.369995,352.369995,345.619995,350,2121200,350,50.959999,51.810001,50.700001,51.049999,49095000,51.049999,131.749527,133.221802,131.548752,133.049713,7577329,117.505859,54.98,55.360001,54.919998,55.220001,8773000,53.272621
2020-01-22,167.399994,167.490005,165.679993,165.699997,24138800,161.887512,79.644997,79.997498,79.327499,79.425003,101832400,78.048233,178.320007,179.889999,177.190002,178.330002,2060100,169.199097,352.600006,354.279999,349.959991,350.059998,1600300,350.059998,51.630001,51.880001,51.200001,51.43,40772200,51.43,137.017212,139.378586,136.281067,137.562134,17228038,121.491096,55.41,55.650002,54.599998,54.720001,6380500,52.790253
2020-01-23,166.190002,166.800003,165.270004,166.720001,19680800,162.884033,79.480003,79.889999,78.912498,79.807503,104472000,78.424095,177.770004,178.460007,177.009995,177.830002,1520300,168.724701,351.019989,352.160004,347.850006,351.76001,2084400,351.76001,51.34,51.75,50.740002,51.709999,40135400,51.709999,137.858505,138.05928,135.898666,136.587006,5918059,120.629921,54.41,55,54.279999,54.98,6583200,53.041088
2020-01-24,167.509995,167.529999,164.449997,165.039993,24918100,161.242706,80.0625,80.832497,79.379997,79.577499,146537600,78.198082,178.830002,178.929993,176.179993,177.210007,1676700,168.136429,354.100006,355.690002,349.200012,351.369995,1640200,351.369995,52.279999,52.810001,49.470001,50.349998,80004900,50.349998,137.084137,137.59082,134.28299,134.378586,5836889,118.679466,55.060001,55.200001,53.880001,54.07,6426000,52.163177
2020-01-27,161.149994,163.380005,160.199997,162.279999,32078100,158.546204,77.514999,77.942497,76.220001,77.237503,161940000,75.898636,175.190002,176.630005,174.490005,175.740005,1622500,166.741684,341.040009,349.899994,340.399994,346.899994,2652000,346.899994,48.450001,49.790001,47.900002,49.259998,48878600,49.259998,132.40918,133.910141,132.02676399999999,132.523895,4358264,117.041458,53.18,53.52,52.630001,52.689999,8259100,50.831841
2020-01-28,163.779999,165.759995,163.070007,165.460007,24899900,161.653046,78.150002,79.599998,78.047501,79.422501,162234000,78.045761,176.029999,178.960007,175.899994,178.300003,1642000,169.170609,349,355.660004,347.119995,354.630005,2270800,354.630005,50.029999,50.849998,49.48,50.529999,62343800,50.529999,133.365204,134.292542,132.648178,133.412994,3610374,117.826706,52.860001,53.68,52.66,53.459999,8620300,51.574688
2020-01-29,167.839996,168.75,165.690002,168.039993,34754500,164.17366,81.112503,81.962502,80.345001,81.084999,216229200,79.679451,171.850006,174.279999,170.940002,171.039993,3842800,162.282349,356.700012,356.700012,351.359985,351.660004,1521300,351.660004,47.84,48.07,46.099998,47.509998,112349900,47.509998,133.049713,133.441681,131.548752,131.634796,3194275,116.256241,53.779999,53.939999,53.18,53.200001,6332500,51.323853
2020-01-30,174.050003,174.050003,170.789993,172.779999,51597500,168.804611,80.135002,81.022499,79.6875,80.967499,126743200,79.56398,168.960007,175.080002,168.339996,175.009995,2731700,166.049057,349.690002,356.820007,349.690002,356.73999,1834900,356.73999,46.490002,48.810001,46.130001,48.779999,70460200,48.779999,130.745697,130.946457,129.034424,130.755264,5290563,115.479469,52.82,53.330002,52.279999,53.310001,7176200,51.429981
2020-01-31,172.210007,172.399994,169.580002,170.229996,36142700,166.313263,80.232498,80.669998,77.072502,77.377502,199588400,76.036217,174.5,175.440002,170.839996,171.389999,3316700,162.61441,355.839996,355.839996,348.299988,351.140015,3692900,351.140015,48.400002,48.580002,46.790001,47,60322400,47,136.615677,137.715103,134.598465,137.40918,19868352,121.356026,53.34,53.490002,52.290001,52.450001,8884700,50.600304
2020-02-03,170.429993,174.5,170.399994,174.380005,30107000,170.367813,76.074997,78.372498,75.555,77.165001,173788400,75.827393,173.880005,175.169998,173,173.940002,2162800,165.033859,353.410004,358.670013,352.290009,358,2693800,358,46.400002,48.099998,46.23,48.02,46983500,48.02,137.906311,140.803055,137.571701,139.837479,9295488,123.500648,52.73,53.41,52.689999,53.09,8892500,51.217739
2020-02-04,177.139999,180.639999,176.309998,180.119995,36433300,175.975708,78.827499,79.910004,78.407501,79.712502,136616400,78.330734,176.669998,178.070007,174.800003,175.919998,3423400,166.912491,363.429993,367.440002,360.450012,366.73999,3053000,366.73999,49.209999,49.75,48.610001,49.450001,46302100,49.450001,141.281067,142.810699,140.420654,142.552582,5879566,125.898529,53.75,54.560001,53.75,54.040001,9769800,52.134235
2020-02-05,184.029999,184.199997,178.410004,179.899994,39186300,175.760773,80.879997,81.190002,79.737503,80.362503,118826800,78.969482,178.369995,179.009995,176.809998,178.619995,2675200,169.474228,373.98999,374.480011,362.309998,365.549988,2463400,365.549988,50.290001,50.419998,49.310001,49.84,42737100,49.84,143.604202,150.516251,143.546844,149.455063,15048593,131.994614,54.669998,55.029999,54.580002,54.740002,9612900,52.809555
2020-02-06,180.970001,183.820007,180.059998,183.630005,27751400,179.404984,80.642502,81.305,80.065002,81.302498,105425600,79.893188,179.75,180.470001,178.800003,180.259995,1600800,171.030243,366.160004,368.25,363.01001,367.459991,2224500,367.459991,48.799999,49.389999,47.630001,49.32,48670600,49.32,149.923523,151.768646,148.585083,149.86615,8786923,132.357666,55,55.349998,54.709999,54.709999,8832000,52.780609
2020-02-07,182.850006,185.630005,182.479996,183.889999,33529100,179.658966,80.592499,80.849998,79.5,80.0075,117684000,78.80722,179.779999,179.899994,178.490005,179.100006,2311500,169.929642,366,369.339996,364.380005,366.089996,2092700,366.089996,48.91,50.669998,48.639999,49.73,53107600,49.73,147.753342,148.699814,146.195023,146.663483,6718876,130.881714,54.27,54.970001,54.189999,54.720001,7864800,52.790253
2020-02-10,183.580002,188.839996,183.25,188.699997,35844300,184.358292,78.544998,80.387497,78.462502,80.387497,109348800,79.181519,178.660004,179.820007,178.309998,179.360001,2153800,170.176331,365.440002,370.809998,365.220001,370,2426800,370,49.470001,52.299999,49.349998,52.259998,60971700,52.259998,146.242828,147.648178,144.913956,147.638626,5480831,131.751938,54.720001,55.07,54.450001,54.990002,7198200,53.050735
