family,species,abm_g
Vespertilionidae,kobayashii,-999
Vespertilionidae,tatei,-999
Vespertilionidae,dwyeri,8.74
Vespertilionidae,gouldii,14.24
Vespertilionidae,morio,8.91
Vespertilionidae,neocaledonicus,-999
Vespertilionidae,doriae,-999
Vespertilionidae,gaskelli,-999
Vespertilionidae,tickelli,16.3
Vespertilionidae,tomesi,-999
Vespertilionidae,barbastellus,8.31
Vespertilionidae,leucomelas,15.05
Vespertilionidae,dubiaquercus,22.22
Vespertilionidae,nigrogriseus,8.79
Vespertilionidae,picatus,-999
Vespertilionidae,tuberculatus,-999
Vespertilionidae,lesueuri,-999
Vespertilionidae,seabrae,-999
Vespertilionidae,mexicanus,-999
Vespertilionidae,rafinesquii,9.15
Vespertilionidae,townsendii,10.3
Vespertilionidae,japonensis,-999
Vespertilionidae,andinus,-999
Vespertilionidae,bobrinskoi,7.54
Vespertilionidae,bottae,15.66
Vespertilionidae,brasiliensis,9.2
Vespertilionidae,chiriquinus,-999
Vespertilionidae,diminutus,5.99
Vespertilionidae,dimissus,13.03
Vespertilionidae,floweri,-999
Vespertilionidae,furinalis,7.7
Vespertilionidae,fuscus,17.49
Vespertilionidae,gobiensis,-999
Vespertilionidae,guadeloupensis,-999
Vespertilionidae,hottentotus,30.33
Vespertilionidae,innoxius,-999
Vespertilionidae,maculatum,16.17
Vespertilionidae,denticulus,-999
Vespertilionidae,affinis,-999
Vespertilionidae,mackenziei,23
Vespertilionidae,mordax,-999
Vespertilionidae,petersi,-999
Vespertilionidae,tasmaniensis,22.54
Vespertilionidae,harpia,13.65
Vespertilionidae,mordax,-999
Vespertilionidae,alboguttata,-999
Vespertilionidae,argentata,9.3
Vespertilionidae,beatrix,7.5
Vespertilionidae,curryae,-999
Vespertilionidae,egeria,-999
Vespertilionidae,gleni,10.81
Vespertilionidae,humeralis,5.49
Vespertilionidae,kenyacola,7.17
Vespertilionidae,machadoi,-999
Vespertilionidae,poensis,6.91
Vespertilionidae,superba,-999
Vespertilionidae,variegata,11.25
Vespertilionidae,javanus,-999
Vespertilionidae,tylopus,4.59
Vespertilionidae,africana,-999
Vespertilionidae,agnella,-999
Vespertilionidae,argentata,10.11
Vespertilionidae,cuprosa,-999
Vespertilionidae,alienus,-999
Vespertilionidae,humboldti,-999
Vespertilionidae,laephotis,-999
Vespertilionidae,macrotus,11
Vespertilionidae,magellanicus,-999
Vespertilionidae,montanus,-999
Vespertilionidae,velatus,11.32
Vespertilionidae,blanfordi,6.91
Vespertilionidae,noctivagans,11.02
Vespertilionidae,borealis,12.33
Vespertilionidae,castaneus,12.51
Vespertilionidae,cinereus,27.06
Vespertilionidae,degelidus,-999
Vespertilionidae,ebenus,14
Vespertilionidae,ega,12.2
Vespertilionidae,egregius,-999
Vespertilionidae,insularis,-999
Vespertilionidae,intermedius,22.96
Vespertilionidae,minor,-999
Vespertilionidae,pfeifferi,-999
Soricidae,aleksandrisi,-999
Soricidae,allex,-999
Soricidae,andamanensis,-999
Soricidae,ansellorum,-999
Soricidae,arabica,-999
Soricidae,arispa,-999
Soricidae,armenica,-999
Soricidae,attenuata,-999
Soricidae,attila,-999
Soricidae,baileyi,-999
Soricidae,baluensis,-999
Soricidae,batesi,16.49
Soricidae,beatus,10.55
Soricidae,beccarii,-999
Soricidae,bottegi,3.49
Soricidae,bottegoides,-999
Soricidae,brunnea,-999
Soricidae,buettikoferi,-999
Soricidae,caliginea,-999
Soricidae,canariensis,7.5
Soricidae,caspica,-999
Soricidae,cinderella,-999
Soricidae,congobelgica,-999
Soricidae,crenata,-999
Soricidae,crossei,8
Soricidae,cyanea,8.58
Soricidae,denti,-999
Soricidae,desperata,-999
Soricidae,dhofarensis,-999
Soricidae,dolichura,5.63
Soricidae,douceti,4.3
Soricidae,dsinezumi,-999
Soricidae,eisentrauti,-999
Soricidae,elgonius,6.5
Soricidae,elongata,-999
Soricidae,erica,-999
Soricidae,fischeri,-999
Soricidae,flavescens,31.22
Soricidae,floweri,-999
Soricidae,foetida,-999
Soricidae,foxi,21
Soricidae,fuliginosa,12
Soricidae,fulvastra,10
Soricidae,fumosa,14.49
Soricidae,fuscomurina,5.6
Soricidae,glassi,-999
Soricidae,gmelini,-999
Soricidae,goliath,87.92
Soricidae,gracilipes,6.69
Soricidae,grandiceps,23
Soricidae,grandis,-999
Soricidae,grassei,-999
Soricidae,grayi,10.7
Soricidae,greenwoodi,-999
Soricidae,harenna,-999
Soricidae,hildegardeae,10.28
Soricidae,hilliana,-999
Soricidae,hirta,15.8
Soricidae,hispida,-999
Soricidae,orii,-999
Soricidae,palawanensis,-999
Soricidae,paradoxura,-999
Soricidae,parvipes,-999
Soricidae,pasha,6.5
Soricidae,pergrisea,-999
Soricidae,phaeura,-999
Soricidae,picea,-999
Soricidae,pitmani,-999
Soricidae,planiceps,2.5
Soricidae,poensis,17.05
