Species,Weight,Wing,Culmen,Hallux
RT,920,385,25.7,30.1
RT,990,381,26.7,31.3
CH,470,265,18.7,23.5
SS,170,205,12.5,14.3
RT,1090,412,28.5,32.2
RT,960,370,25.3,30.1
RT,855,375,27.2,30
RT,1210,412,29.3,31.3
RT,1120,405,26,30.2
RT,1010,393,26.3,30.8
RT,1010,371,25.4,29.7
RT,1120,390,28.9,30.9
RT,1170,416,26.5,34
RT,1390,436,30.5,34
RT,1150,418,27.1,31
RT,950,381,28.9,28.9
RT,910,378,25.7,28.2
RT,1010,396,24,26.9
RT,1070,399,26.4,31.2
RT,1190,416,28.8,31.6
RT,101,415,24.9,30.7
RT,1330,392,27,30.3
RT,990,380,26,30
RT,1100,399,26.2,32.5
RT,1190,401,28.6,31.6
SS,180,205,11.7,15
RT,1490,427,30.1,32.4
RT,1040,395,27.1,31.4
RT,820,362,24.9,27.9
RT,1030,396,26,29.7
RT,1300,391,25.5,32.4
RT,1500,413,26.5,31.3
RT,1080,371,25.3,27.2
RT,1320,385,27.3,30.1
RT,1490,378,25.4,31.3
RT,1500,416,29.1,30.8
SS,100,193,9.3,101
SS,88,171,9.7,11.5
CH,324,233,16,19.3
RT,1060,384,26.1,31.2
RT,1140,382,25.1,29.4
RT,1030,390,27.6,30.3
RT,1000,390,25.1,28.3
RT,1050,393,28.7,29.8
RT,1040,378,26.2,31.2
RT,1110,398,26.5,30.9
RT,1300,412,27.9,31.55
RT,980,400,25.7,29.3
RT,1120,422,26.4,28.3
SS,134,202,12.4,13.7
RT,1270,394,27.8,31.6
RT,880,369,25,26.5
CH,340,252,16,20.8
CH,340,240,16.1,19.3
RT,1255,410,29.7,31.4
RT,1320,241,28.6,36.4
RT,1320,408,30,33.4
RT,1180,37.2,20.2,26.65
RT,760,380,24.5,26.1
RT,1250,396,26.6,32.5
SS,100,158,10.8,10.5
RT,1300,416,27.3,32.7
CH,475,271,18.2,24.75
SS,100,176,9.8,11.1
RT,1080,390,30.2,29.1
RT,1130,391,26.4,29.4
RT,1160,387,26.8,31
RT,1345,420,29.5,34.3
RT,1385,435,32.6,30.6
RT,1210,400,25.5,28.6
RT,1455,398,28,31.5
RT,1180,395,25,28.9
RT,1500,410,27.1,33.2
RT,1025,369,27.1,31.5
RT,930,372,26.1,31.1
RT,1360,415,28.6,33.5
RT,1255,412,27.7,32.6
SS,194,205,12.6,14.4
SS,159,204,12.5,14.8
SS,90,170,9.5,11.3
CH,340,233,17.8,19.4
RT,1065,375,25.9,30
RT,1125,385,19.6,31.4
RT,1340,422,28.7,32
RT,1050,391,26.6,32.2
RT,1210,410,27.5,308
RT,980,385,26.8,27.8
RT,1000,381,25.5,29.8
RT,1390,416,28.1,31.3
RT,1275,406,29,33.7
RT,1180,418,30.1,341.4
RT,1210,412,29.3,33.8
SS,168,208,12.7,14.8
SS,146,208,11.8,14.9
SS,108,175,10,11.5
SS,94,166,9.5,11.3
RT,1085,405,27.7,29.9
SS,188,198,12.2,143
SS,154,200,12.4,14.4
RT,810,380,25.9,28.7
RT,905,381,27.9,29.1
SS,94,169,9,10.2
CH,420,260,19.6,23.9
RT,1240,428,29.1,34.7
RT,990,400,26.9,31.4
CH,365,265,16.8,22.5
SS,91,177,10.2,11.3
RT,1010,381,25.8,31.7
RT,980,403,26.3,29.7
RT,860,382,26.5,29
RT,970,382,25.8,29
RT,980,399,27.5,29.9
RT,985,380,23.9,29
RT,990,375,25.6,30.6
RT,1210,420,27.8,32.6
SS,89,170,8.6,11
SS,97,177,10,11.3
RT,990,375,28,29.5
RT,1170,395,28.1,31.7
SS,93,170,10.1,11.2
RT,1350,406,30.5,32
RT,1370,414,29.3,33
SS,103,173,9.7,19.4
SS,151,209,12.2,13.9
SS,101,177,10.3,12.1
RT,985,388,26.9,29.8
RT,940,277,26.5,30.4
RT,1310,423,27.4,34.1
RT,1035,365,26.1,30.8
RT,965,383,26.1,31.8
RT,1125,391,25.4,30.9
RT,975,389,26.4,30.3
RT,1140,392,26.2,29.8
RT,950,375,25.3,29.9
RT,1210,410,28.1,28.9
SS,95,179,10.8,11.6
SS,89,172,9.4,10.8
SS,195,202,12.4,14.1
SS,93,174,9.5,11
RT,1205,422,28.8,31.3
RT,1045,385,27.6,27.5
RT,1090,363,26.6,28.8
RT,1190,450,30.3,32.8
RT,960,380,25.6,30.1
RT,955,385,26.3,30.1
RT,1110,385,24.7,30.2
SS,100,171,19.1,11.5
RT,900,380,24,26.5
RT,1075,384,26.5,30.7
RT,980,373,27.9,32.1
RT,940,381,27.8,34.2
RT,1070,363,25.6,30.4
RT,1120,409,29.4,31.6
RT,1060,390,27.6,29
SS,168,204,12.1,14.3
SS,211,197,11.5,13.9
RT,1125,420,27.2,27.4
RT,1100,381,27,28.2
RT,1360,408,30,33.9
RT,995,388,26.7,30.7
RT,1095,398,21.1,31.4
SS,196,209,12.1,14.6
SS,176,209,11.7,15.1
RT,1075,394,25.5,29.7
SS,180,204,12.3,15.2
SS,164,204,12.3,14.3
SS,158,209,12.2,14.4
RT,1140,394,26.8,29.2
RT,1240,416,27.9,31.8
RT,1465,445,29.7,34.6
SS,169,209,12.1,14.5
RT,1105,388,26.7,28.9
RT,1010,397,27.1,31.4
RT,1075,384,26.3,30.5
RT,1060,379,27.9,30.9
RT,1015,393,27.6,31.1
RT,1100,386,26,30.2
RT,1010,397,25,30.6
RT,1000,382,26.3,30.1
RT,980,386,25.4,30.2
RT,1240,417,28.7,32.4
RT,1360,403,27.9,33.1
CH,183,239,17.3,19.2
RT,1405,401,29.1,82.8
RT,1055,377,27,29.1
RT,1670,432,27.1,32.9
RT,1250,390,26.2,30.5
RT,1030,381,25.3,29.9
SS,190,213,12.2,15.5
SS,105,172,10,10.8
RT,1090,390,26.2,28.8
SS,190,204,11.8,13.9
RT,1050,386,28.4,29.4
RT,1110,402,26.1,30
SS,206,201,12.1,13.5
SS,195,202,12.1,14.8
RT,1010,374,24.9,30.1
RT,880,358,24.2,28.7
RT,1060,370,24.3,29.8
RT,920,390,25.7,30
RT,1195,398,26.2,29.8
RT,890,360,26,28.4
RT,900,355,25.3,29
RT,1110,375,22.2,31.5
SS,160,200,10.2,13.2
SS,105,179,10.1,11.3
SS,99,175,9.6,12.7
SS,165,203,12,14.4
SS,100,205,12,12.5
SS,125,213,11.5,14.4
RT,1100,409,29,32.6
SS,155,195,11.9,14.6
RT,1285,415,29.5,31.8
CH,390,236,15.1,20.4
RT,920,363,26.8,30.2
RT,1025,381,25.4,30.8
RT,940,350,26,29.1
RT,1240,398,28.5,30.8
RT,1160,412,27.8,33
SS,150,203,11.5,13.9
SS,130,201,11.7,14.4
RT,1240,411,26.8,32.7
RT,930,373,24.4,27.4
SS,90,178,10.9,12.1
RT,1240,415,25.6,31.2
RT,1030,383,25.2,29.8
CH,550,223,18.8,21.3
RT,1250,390,26.5,32
RT,999,390,25.3,29.8
RT,1120,365,26.5,30.8
RT,1000,345,26.4,30.1
CH,530,273,19.2,24.7
RT,1040,400,27.7,32.1
RT,1150,380,27.8,31.1
RT,1000,330,25.9,30.2
RT,1360,410,33.3,28.6
RT,930,313,25.7,28.9
RT,980,384,25.8,30.4
RT,1260,409,27.7,31.8
RT,900,390,27.5,28.6
RT,1300,411,25.9,31.9
CH,470,259,16.6,23.4
RT,1040,380,26.4,30.9
RT,950,370,27.3,30.5
RT,1320,415,29.4,33.9
SS,180,215,14.1,12.7
RT,1280,410,27.9,32.7
RT,1310,412,26.1,31.1
RT,910,384,26.4,28.4
RT,1220,404,28.6,30.4
RT,920,375,23.8,28.8
RT,1135,410,26.4,32.4
RT,940,384,26.2,29.8
RT,920,385,25,32.2
RT,1280,398,28,32.4
RT,1220,425,27.3,33
RT,1000,401,26.7,28
RT,1120,387,26.8,50.2
RT,925,376,26,30.8
SS,90,171,9.9,11.9
RT,1280,420,27.5,31.8
RT,985,385,27.5,30.8
RT,1350,405,28.3,32.6
RT,730,350,24.6,25.7
RT,890,388,27.8,31.2
RT,1020,398,26.5,31.1
RT,1000,410,27.1,30.6
SS,150,202,11.7,14.1
SS,180,204,11.5,12.4
RT,1020,382,26.5,29.4
RT,1340,111,26.85,31.9
RT,1300,396,27.3,30.5
RT,1015,363,25.5,30.1
RT,900,360,30.5,28.8
RT,1000,390,26.1,29.6
SS,150,195,12.3,14.6
RT,1050,390,24.8,32.5
RT,950,380,24.9,29
CH,350,225,12.6,26
CH,375,247,16.9,18.2
RT,1175,415,28.3,33.2
RT,980,354,25.8,29.3
RT,1260,417,29,32.8
RT,1050,379,25.9,31.3
RT,1330,412,29.2,32.2
RT,980,377,28,29.1
RT,920,372,25.3,30
RT,1540,420,29.9,35.5
RT,1060,368,25.5,26.9
RT,1420,406,29.9,32
CH,400,225,15,20
RT,1142,392,27.2,33
SS,157,191,12,13.8
SS,98,161,10.3,11.7
RT,813,365,26.2,30.1
SS,94,156,9.9,11.4
SS,155,191,16.5,14.4
SS,181,198,12.5,14.1
SS,92,160,9.8,11
SS,98,164,10.1,11.4
RT,1024,352,26.6,30.3
CH,464,265,19.2,24.1
SS,100,163,10.4,11.2
SS,186,193,12.8,14
SS,164,190,11.9,14.5
SS,98,165,10.1,11.4
SS,158,198,12.1,14.5
RT,1023,370,25.8,30.1
RT,340,230,16.5,30.5
CH,163,194,12.2,20
SS,92,157,9.8,14.7
SS,550,260,19.5,11.2
CH,1119,377,25.4,23.9
RT,917,364,26,29.6
RT,946,367,26.7,28.9
RT,337,233,15.7,31.9
CH,742,336,23.4,18.8
SS,439,259,18.8,15.2
CH,187,199,12.2,24.2
SS,92,165,9.7,14.6
SS,1094,370,27.3,11.5
RT,832,362,23.8,32.6
RT,1244,368,26.7,30.2
RT,974,367,25.2,29.6
RT,1289,400,28.6,32.1
RT,999,379,28.3,32
RT,994,360,26.5,30.4
