total_cup_points,species,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance
90.58,Arabica,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,2014,"April 4th, 2015",metad plc,NA,Wet,8.67,8.83,8.67,8.75,8.5,8.42
89.92,Arabica,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,2014,"April 4th, 2015",metad plc,Other,Wet,8.75,8.67,8.5,8.58,8.42,8.42
89,Arabica,Ethiopia,yidnekachew dabessa coffee plantation,wolensu,yidnekachew debessa coffee plantation,60,kg,320,oromia,2014,"March 26th, 2015",Yidnekachew Dabessa,NA,Dry,8.17,8.58,8.42,8.42,8.5,8.25
88.83,Arabica,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,2014,"April 4th, 2015",metad plc,Other,Wet,8.25,8.5,8.25,8.5,8.42,8.33
88.83,Arabica,Brazil,NA,NA,NA,30,kg,100,NA,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Dry,8.58,8.42,8.42,8.5,8.25,8.33
88.75,Arabica,Peru,NA,hvc,richmond investment-coffee department,69,kg,100,NA,2012,"September 17th, 2012",Hugo Valdivia,Other,Wet,8.42,8.5,8.33,8.5,8.25,8.25
88.25,Arabica,Ethiopia,tulla coffee farm,tulla coffee farm,diamond enterprise plc,60,kg,50,"snnp/kaffa zone,gimbowereda",2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Dry,8.08,8.58,8.5,8.5,7.67,8.42
88.08,Arabica,Ethiopia,fahem coffee plantation,NA,fahem coffee plantation,60,kg,300,oromia,2014,"March 27th, 2015",Mohammed Lalo,NA,Dry,8.17,8.67,8.25,8.5,7.75,8.17
87.92,Arabica,United States,el filo,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.25,8.42,8.17,8.33,8.08,8.17
87.92,Arabica,United States,los cedros,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.08,8.67,8.33,8.42,8,8.08
87.58,Arabica,United States,el águila,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8,8.5,8.58,8.17,8.17,8
87.25,Arabica,China,echo coffee,echo coffee mill,yunnan coffee exchange,60,kg,3,yunnan,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Wet,8.42,8.25,8.08,8.17,7.92,8
87.25,Arabica,Ethiopia,drima zede,drima zede,essence coffee,60,kg,250,gedio,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Dry,8.17,8.17,8,8.17,8.08,8.33
87.25,Arabica,United States,el rodeo,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8,8.25,8.08,8.5,8.25,8
87.17,Arabica,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,3,lbs,250,san ramon,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Wet,8.08,8.25,8,8.17,8,8.33
87.17,Arabica,Mexico,la herradura,la herradura,NA,1,kg,14,xalapa,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Wet,8.17,8.25,8.17,8,7.83,8.17
87.08,Arabica,United States,la curva,NA,coffee quality institute,1,kg,10,antioquia,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.25,8.33,8.17,8.17,7.83,8.17
87.08,Arabica,Ethiopia,NA,NA,NA,60,kg,100,sidamo,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Dry,8.42,8.17,7.92,8.17,8.33,8
86.92,Arabica,Brazil,fazenda kaquend,NA,nucoffee,60,kg,3,south of minas,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Dry,8.5,8.5,8,8,8,8
