total_cup_points,species,owner,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,producer,processing_method2,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
90.58,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,METAD PLC,Washed / Wet,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,NA,Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,Green,0,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950,2200,2075
89.92,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,METAD PLC,Washed / Wet,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,Green,1,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950,2200,2075
89,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,wolensu,yidnekachew debessa coffee plantation,60,kg,320,oromia,Yidnekachew Dabessa Coffee Plantation,Natural / Dry,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,NA,Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,Green,2,"March 25th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800,2200,2000
88.83,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,60,kg,300,guji-hambela,METAD PLC,Washed / Wet,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,Green,2,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950,2200,2075
88.83,Arabica,ji-ae ahn,Brazil,NA,NA,NA,30,kg,100,NA,NA,Natural / Dry,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
88.75,Arabica,hugo valdivia,Peru,NA,hvc,richmond investment-coffee department,69,kg,100,NA,HVC,Washed / Wet,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Hugo Valdivia,Other,Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,Bluish-Green,0,"September 17th, 2013",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
88.25,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,tulla coffee farm,diamond enterprise plc,60,kg,50,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,Natural / Dry,METAD Agricultural Development plc,2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,Green,4,"March 29th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1795,1850,1822.5
88.08,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,NA,fahem coffee plantation,60,kg,300,oromia,Fahem Coffee Plantation,Natural / Dry,METAD Agricultural Development plc,2014,"March 27th, 2015",Mohammed Lalo,NA,Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,0,NA,1,"March 26th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1855,1955,1905
87.92,Arabica,cqi q coffee sample representative,United States,el filo,NA,coffee quality institute,1,kg,10,antioquia,Alfredo De Jesús López Pérez,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,0,NA,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1872,1872,1872
87.92,Arabica,cqi q coffee sample representative,United States,los cedros,NA,coffee quality institute,1,kg,10,antioquia,Jorge Walter Restrepo,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,0,NA,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1943,1943,1943
87.58,Arabica,cqi q coffee sample representative,United States,el águila,NA,coffee quality institute,1,kg,10,antioquia,María Leticia Diosa,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,0,NA,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2080,2080,2080
87.25,Arabica,yunnan coffee exchange,China,echo coffee,echo coffee mill,yunnan coffee exchange,60,kg,3,yunnan,Echo Coffee,Washed / Wet,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,0,Green,0,"April 7th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1450,1450,1450
87.25,Arabica,essencecoffee,Ethiopia,drima zede,drima zede,essence coffee,60,kg,250,gedio,LevelUp,Natural / Dry,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,0,NA,8,"March 24th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700,2000,1850
87.25,Arabica,cqi q coffee sample representative,United States,el rodeo,NA,coffee quality institute,1,kg,10,antioquia,Nicolás Rueda Urrego,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,0,None,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2019,2019,2019
87.17,Arabica,the coffee source inc.,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,3,lbs,250,san ramon,SEVERAL,Washed / Wet,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,0,Green,2,"April 2nd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300,1300,1300
87.17,Arabica,roberto licona franco,Mexico,la herradura,la herradura,NA,1,kg,14,xalapa,ROBERTO LICONA FRANCO,Washed / Wet,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,0,Green,0,"July 26th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1320,1320,1320
87.08,Arabica,cqi q coffee sample representative,United States,la curva,NA,coffee quality institute,1,kg,10,antioquia,Silvia Elena Higuita,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,0,NA,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2112,2112,2112
87.08,Arabica,ji-ae ahn,Ethiopia,NA,NA,NA,60,kg,100,sidamo,NA,Natural / Dry,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
86.92,Arabica,nucoffee,Brazil,fazenda kaquend,NA,nucoffee,60,kg,3,south of minas,Ralph Junqueira,Natural / Dry,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,0,Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250,1250,1250
86.83,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,kabum trading company,kabum trading company,60,kg,100,kapchorwa eastern,Kabum trading company,Washed / Wet,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,0,Green,1,"June 26th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1950,1950,1950
86.58,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,tsoustructive garden 鄒築園,taiwan coffee laboratory,50,kg,20,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",Pulped natural / honey,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Other,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,0,Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
86.5,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",NA,NA,NA,60,kg,100,NA,NA,Natural / Dry,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",Specialty Coffee-Korea,NA,Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
86.42,Arabica,nucoffee,Brazil,fazenda recreio,NA,nucoffee,60,kg,29,vale da grama,Homero Texeira de Macedo Junior,Natural / Dry,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,0,Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1300,1300,1300
86.33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,"exclusive coffees s.a,",exclusive coffees s.a.,2,lbs,250,west and central valley,Exclusive Coffees S.A.,Washed / Wet,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,0,Blue-Green,0,"December 2nd, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300,1300,1300
86.25,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,faysal abamecha processing plant at yebu town,haider abamecha coffee export,60,kg,320,oromia,Haider Abamecha Abadiko,Natural / Dry,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,NA,Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,0,Green,3,"March 26th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1750,1800,1775
86.25,Arabica,daniel magu,Kenya,kangunu,central kenya coffee mills,c dorman ltd,1,kg,320,muranga,Kangunu,Washed / Wet,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,0,Blue-Green,1,"May 30th, 2015",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
86.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,10,kona,NA,Natural / Dry,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,1,0,NA,4,"April 6th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
86.17,Arabica,cqi q coffee sample representative,United States,la primavera,NA,coffee quality institute,1,kg,10,antioquia,Hugo Sepúlveda Montoya,Washed / Wet,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,0,NA,0,"March 12th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1941,1941,1941
86.17,Arabica,itdp international,Thailand,co-op #12,NA,lanna cafe,1,kg,53,chiang rai,ITDP,Washed / Wet,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,1,0,Green,9,"April 12th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300,1300,1300
86.08,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,15,kg,10,natou county,LIN YEN CHIEN 林言謙,Semi-washed / Semi-pulped,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,0,0,Green,0,"June 9th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000,1000,1000
86.08,Arabica,jungle estate,Kenya,jungle estate,nkg coffee mills,keremara limited,60,kg,12,nyeri,JUNGLE ESTATE,Natural / Dry,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,0,Bluish-Green,2,"January 29th, 2016",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1754,1754,1754
86.08,Arabica,nucoffee,Brazil,fazenda kaquend,NA,nucoffee,60,kg,7,south of minas,Ralph Junqueira,Semi-washed / Semi-pulped,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,0,Blue-Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250,1250,1250
86,Arabica,great lakes coffee uganda,Uganda,kaasayi,great lakes coffee,ucda,60,kg,1,eastern uganda,Kaasay Farmer Group,Semi-washed / Semi-pulped,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,NA,Semi-washed,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,0,NA,0,"October 1st, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,NA,NA,NA
86,Arabica,lusso lab,Colombia,ecobio colombia,NA,lusso coffee lab,2,kg,1,tolima,NA,Washed / Wet,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,1,0,Green,1,"March 20th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,900,1500,1200
86,Arabica,lusso lab,Kenya,kianjavi,NA,lusso coffee lab,1,kg,1,kiambu,NA,Washed / Wet,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,0,Green,1,"February 6th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1520,2200,1860
86,Arabica,afca,Uganda,NA,NA,kawacom uganda ltd,60,kg,1,"sipi, mt elgon",Kawacom,Washed / Wet,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,0,Blue-Green,0,"February 12th, 2013",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400,1900,1650
85.92,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",69,kg,80,nuevo oriente,MARGARITA AVILA DE NUYENS,Washed / Wet,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,0,1,Green,3,"May 16th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
85.92,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,kawacom,kawacom uganda ltd,60,kg,1,eastern,Kawacom (U)Ltd,Natural / Dry,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,0,Green,0,"June 30th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400,1900,1650
85.92,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,275,huila,NA,Washed / Wet,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,0,1,0,Blue-Green,0,"July 26th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
85.83,Arabica,gonzalo hernandez,Panama,la berlina estate,beneficio casa ruiz s.a.,ce specialty s.a.,60,kg,37,boquete,Plinio Ruiz,Washed / Wet,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,0,1,Bluish-Green,0,"October 9th, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1600,1600,1600
85.83,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,NA,burka gudina,ibrahim hussien specality coffee product & exporter,60,kg,320,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,Washed / Wet,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,NA,Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,0,Green,4,"April 3rd, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1800,2000,1900
85.83,Arabica,juan luis alvarado romero,Guatemala,valparaiso,beneficio valparaiso,sertrasa,1,kg,150,acatenango,SERTRASA,Washed / Wet,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,0,Green,3,"July 3rd, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
85.83,Arabica,juan luis alvarado romero,Guatemala,finca el limon,beneficio serben,unicafe,1,kg,275,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,Washed / Wet,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,0,Bluish-Green,1,"June 5th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1417.32,1417.32,1417.32
