date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,,
1/2/20,158.779999,160.729996,158.330002,160.619995,22622100,156.924377,74.059998,75.150002,73.797501,75.087502,135480400,73.785912,,
1/3/20,158.320007,159.949997,158.059998,158.619995,21116200,154.970383,74.287498,75.144997,74.125,74.357498,146322800,73.068558,,
1/6/20,157.080002,159.100006,156.509995,159.029999,20813700,155.370956,73.447502,74.989998,73.1875,74.949997,118387200,73.650787,,
1/7/20,159.320007,159.669998,157.320007,157.580002,21634100,153.954315,74.959999,75.224998,74.370003,74.597504,108872000,73.304413,,
1/8/20,158.929993,160.800003,157.949997,160.089996,27746500,156.406601,74.290001,76.110001,74.290001,75.797501,132079200,74.48362,,
1/9/20,161.839996,162.220001,161.029999,162.089996,21385000,158.36058,76.809998,77.607498,76.550003,77.407501,170108400,76.065697,,
1/10/20,162.820007,163.220001,161.179993,161.339996,20725900,157.627823,77.650002,78.167503,77.0625,77.582497,140644800,76.237656,,
1/13/20,161.759995,163.309998,161.259995,163.279999,21626500,159.523193,77.910004,79.267502,77.787498,79.239998,121532000,77.866432,,
1/14/20,163.389999,163.600006,161.720001,162.130005,23477400,158.399673,79.175003,79.392502,78.042503,78.169998,161954400,76.814964,,
1/15/20,162.619995,163.940002,162.570007,163.179993,21417900,159.425476,77.962502,78.875,77.387497,77.834999,121923600,76.485786,,
1/16/20,164.350006,166.240005,164.029999,166.169998,23865400,162.346695,78.397499,78.925003,78.022499,78.809998,108829200,77.443878,,
1/17/20,167.419998,167.470001,165.429993,167.100006,34371700,163.25528,79.067497,79.684998,78.75,79.682503,137816400,78.301262,,
1/21/20,166.679993,168.190002,166.429993,166.5,29517200,162.669083,79.297501,79.754997,79,79.142502,110843200,77.770622,,
1/22/20,167.399994,167.490005,165.679993,165.699997,24138800,161.887497,79.644997,79.997498,79.327499,79.425003,101832400,78.048225,,
1/23/20,166.190002,166.800003,165.270004,166.720001,19680800,162.884033,79.480003,79.889999,78.912498,79.807503,104472000,78.424103,,
1/24/20,167.509995,167.529999,164.449997,165.039993,24918100,161.242676,80.0625,80.832497,79.379997,79.577499,146537600,78.19809,,
1/27/20,161.149994,163.380005,160.199997,162.279999,32078100,158.546188,77.514999,77.942497,76.220001,77.237503,161940000,75.898643,,
1/28/20,163.779999,165.759995,163.070007,165.460007,24899900,161.653046,78.150002,79.599998,78.047501,79.422501,162234000,78.045784,,
1/29/20,167.839996,168.75,165.690002,168.039993,34754500,164.173676,81.112503,81.962502,80.345001,81.084999,216229200,79.679443,,
1/30/20,174.050003,174.050003,170.789993,172.779999,51597500,168.804596,80.135002,81.022499,79.6875,80.967499,126743200,79.563995,,
1/31/20,172.210007,172.399994,169.580002,170.229996,36142700,166.313263,80.232498,80.669998,77.072502,77.377502,199588400,76.036217,,
2/3/20,170.429993,174.5,170.399994,174.380005,30107000,170.367813,76.074997,78.372498,75.555,77.165001,173788400,75.827393,,
2/4/20,177.139999,180.639999,176.309998,180.119995,36433300,175.975693,78.827499,79.910004,78.407501,79.712502,136616400,78.330734,,
2/5/20,184.029999,184.199997,178.410004,179.899994,39186300,175.760757,80.879997,81.190002,79.737503,80.362503,118826800,78.969482,,
2/6/20,180.970001,183.820007,180.059998,183.630005,27751400,179.404968,80.642502,81.305,80.065002,81.302498,105425600,79.893181,,
2/7/20,182.850006,185.630005,182.479996,183.889999,33529100,179.658981,80.592499,80.849998,79.5,80.0075,117684000,78.807205,,
2/10/20,183.580002,188.839996,183.25,188.699997,35844300,184.358307,78.544998,80.387497,78.462502,80.387497,109348800,79.181511,,
2/11/20,190.649994,190.699997,183.5,184.440002,53159900,180.19632,80.900002,80.974998,79.677498,79.902496,94323200,78.703804,,
2/12/20,185.580002,185.850006,181.850006,184.710007,47062900,180.460114,80.3675,81.805,80.3675,81.800003,113730400,80.57283,,
2/13/20,183.080002,186.229996,182.869995,183.710007,35295800,179.483124,81.047501,81.555,80.837502,81.217499,94747600,79.999069,,
2/14/20,183.25,185.410004,182.649994,185.350006,23149500,181.085388,81.184998,81.495003,80.712502,81.237503,80113600,80.018768,,
2/18/20,185.610001,187.699997,185.5,187.229996,27792200,182.92215,78.839996,79.9375,78.652496,79.75,152531200,78.553581,,
2/19/20,188.059998,188.179993,186.470001,187.279999,29997500,183.470734,80,81.142502,80,80.904999,93984000,79.691254,,
2/20/20,186.949997,187.25,181.100006,184.419998,36862400,180.6689,80.657501,81.162498,79.552498,80.074997,100566000,78.873703,,
2/21/20,183.169998,183.5,177.25,178.589996,48572600,174.957489,79.654999,80.112503,77.625,78.262497,129554000,77.088402,,
2/24/20,167.770004,174.550003,163.229996,170.889999,68311100,167.414124,74.315002,76.044998,72.307503,74.544998,222195200,73.426651,,
2/25/20,174.199997,174.839996,167.649994,168.070007,68073300,164.651489,75.237503,75.6325,71.532501,72.019997,230673600,70.939529,,
2/26/20,169.710007,173.259995,168.210007,170.169998,56206100,166.708771,71.6325,74.470001,71.625,73.162498,198054800,72.064911,,
2/27/20,163.320007,167.029999,157.979996,158.179993,93174900,154.962646,70.275002,71.5,68.239998,68.379997,320605600,67.354156,,
2/28/20,152.410004,163.710007,152,162.009995,97012700,158.714752,64.315002,69.602501,64.092499,68.339996,426510000,67.314751,,
3/2/20,165.309998,172.919998,162.309998,172.789993,71030800,169.275482,70.57,75.360001,69.43,74.702499,341397200,73.581802,,
3/3/20,173.800003,175,162.259995,164.509995,71677000,161.163895,75.917503,76,71.449997,72.330002,319475600,71.244911,,
3/4/20,168.490005,170.699997,165.619995,170.550003,49814400,167.081024,74.110001,75.849998,73.282501,75.684998,219178400,74.549561,,
3/5/20,166.050003,170.869995,165.690002,166.270004,47817300,162.888092,73.879997,74.887497,72.852501,73.230003,187572800,72.131409,,
3/6/20,162.610001,163.110001,156,161.570007,72821100,158.283676,70.5,72.705002,70.307503,72.2575,226176800,71.173492,,
3/9/20,151,157.75,150,150.619995,70419300,147.556427,65.9375,69.522499,65.75,66.542503,286744800,65.544212,,
3/10/20,158.160004,161.029999,152.580002,160.919998,65354400,157.646896,69.285004,71.610001,67.342499,71.334999,285290000,70.264816,,
