Date,Bedtime,TTS,TST,TBT,Alc,Cal,Run
28-Apr,1155,25,508,580,0,0,0
29-Apr,1305,25,443,505,0,0,2.5
30-Apr,1230,45,443,520,0,0,0
1-May,1230,30,393,500,0,0,1.6
2-May,1210,40,468,530,0,0,0
3-May,1330,30,424,511,0,0,2.5
4-May,1440,25,458,525,0,0,0
5-May,1245,45,444,560,0,0,0
6-May,1415,45,419,490,0,0,0
7-May,1230,55,406,540,0,0,2.9
8-May,1230,30,398,505,0,0,0
9-May,1235,35,450,535,0,0,2.5
10-May,1230,45,425,540,0,0,0
11-May,1255,40,430,515,0,0,3.2
24-May,1325,25,395,480,0,0,0
25-May,1220,25,473,520,0,0,2.7
27-May,1230,30,480,540,0,1,3.2
28-May,1315,65,395,495,0,0,0
29-May,1305,15,448,480,0,1,0
21-Jun,1100,105,420,570,0,0,0
22-Jun,1145,20,465,525,0,0,2.4
23-Jun,1315,25,420,480,0,0,0
24-Jun,1212,25,508,568,0,0,3.1
25-Jun,1240,25,428,495,0,0,0
26-Jun,1244,20,453,495,0,0,2.9
27-Jun,1155,45,445,525,0,0,0
28-Jun,1215,20,478,510,0,0,2.9
29-Jun,1335,15,450,510,1,0,0
30-Jun,1320,40,412,465,0,0,0
1-Jul,1238,20,442,477,1,0,2.9
2-Jul,1310,20,465,500,0,0,0
3-Jul,1250,25,459,512,0,0,3.5
4-Jul,1203,45,407,511,0,1,0
5-Jul,1148,15,458,497,1,0,3.7
6-Jul,1209,45,452,526,0,0,0
7-Jul,1205,20,467,499,0,0,0
8-Jul,1222,15,493,528,1,0,3.1
9-Jul,1248,40,415,482,0,0,0
10-Jul,1222,10,442,468,0,0,3.1
11-Jul,1150,50,418,490,0,0,0
12-Jul,1105,35,448,535,0,0,0.4
13-Jul,1159,30,509,555,0,0,4.8
14-Jul,1115,25,445,525,0,0,0
15-Jul,1327,25,439,478,0,0,2.9
16-Jul,1127,15,485,558,0,0,0
17-Jul,1120,15,475,535,0,0,0
18-Jul,1135,45,456,535,0,0,3.1
19-Jul,1111,80,419,535,0,0,0
20-Jul,1206,25,464,504,0,0,3.2
21-Jul,1129,35,457,507,0,0,0
22-Jul,1220,20,459,500,0,0,6
23-Jul,1145,40,457,510,0,0,0
24-Jul,1145,25,431,495,0,0,2.9
25-Jul,1137,30,456,500,0,0,0
26-Jul,1150,35,408,480,0,0,6.4
27-Jul,1151,30,385,489,0,0,0
16-Aug,1126,30,490,543,0,1,6.4
17-Aug,1230,20,456,479,0,0,0
18-Aug,1314,10,473,493,1,1,2.9
19-Aug,1212,15,501,528,1,0,0
20-Aug,1331,20,410,445,0,0,3.2
21-Aug,1136,40,431,506,0,0,0
22-Aug,1223,20,437,467,0,1,6.9
23-Aug,1210,40,450,500,0,1,0
24-Aug,1204,60,422,516,0,1,2.9
25-Aug,1135,55,389,504,0,1,0
26-Aug,1139,10,533,566,0,1,3.2
27-Aug,1231,30,422,533,0,1,0
28-Aug,1134,45,440,507,0,1,0
29-Aug,1227,15,446,486,0,0,2.9
30-Aug,1115,45,440,515,0,1,0
31-Aug,1211,20,472,509,0,1,2.9
